"PlayerName","pos","points","value"
"Aaron Rodgers","qb",395.586,95.6699385601394
"Cam Newton","qb",384.832,86.3802046445641
"Russell Wilson","qb",374.956,77.8489221310599
"Andrew Luck","qb",366.98,70.9589353623572
"Adrian Peterson","rb",201.42,65.0062148479226
"Antonio Brown","wr",146.74,63.0323407548326
"Todd Gurley","rb",198.005,62.0562017066086
"Drew Brees","qb",356.022,61.4929781141821
"Odell Beckham Jr.","wr",138.855,56.2209634139071
"Jamaal Charles","rb",190.29,55.3916771428497
"Julio Jones","wr",132.535,50.7614954627786
"David Johnson","rb",183.78,49.768079617241
"Lamar Miller","rb",181.915,48.1570182677386
"Rob Gronkowski","te",114.95,47.9108239060184
"Ben Roethlisberger","qb",340.088,47.7285536943589
"DeAndre Hopkins","wr",128.56,47.3277319966811
"Carson Palmer","qb",334.408,42.8219432572686
"Ezekiel Elliott","rb",172.825,40.3047138886629
"Dez Bryant","wr",120.155,40.0671579255995
"Le'Veon Bell","rb",170.18,38.0198574439263
"Blake Bortles","qb",327.998,37.2847297182284
"A.J. Green","wr",116.775,37.1473791795846
"Jordy Nelson","wr",114.615,35.2814850697052
"Eli Manning","qb",324.79,34.5135314291113
"Eddie Lacy","rb",164.77,33.346483770571
"Philip Rivers","qb",323.424,33.3335261725857
"LeSean McCoy","rb",164.065,32.7374766652632
"Devonta Freeman","rb",162.295,31.2084801030009
"Doug Martin","rb",161.83,30.8067945654574
"Allen Robinson","wr",109.28,30.6728993862763
"Alshon Jeffery","wr",108.915,30.3575978353013
"Mark Ingram","rb",160.26,29.4505659763321
"Thomas Rawls","rb",158.4,27.8438238261582
"Brandon Marshall","wr",105.195,27.1441135349535
"Sammy Watkins","wr",104.38,26.4400840444203
"Mike Evans","wr",103.93,26.0513561048621
"T.Y. Hilton","wr",103.875,26.0038449122494
"Brandin Cooks","wr",103.055,25.2954962223878
"Randall Cobb","wr",100.625,23.1963653487735
"Greg Olsen","te",86.065,22.9588093857101
"Kirk Cousins","qb",311.308,22.8672423599475
"Tony Romo","qb",310.968,22.5735368056147
"Andy Dalton","qb",310.57,22.2297285390721
"Jordan Reed","te",84.965,22.0085855334567
"Tyrod Taylor","qb",309.618,21.40735298694
"Demaryius Thomas","wr",98.515,21.3736632321783
"Keenan Allen","wr",98.33,21.2138528570266
"C.J. Anderson","rb",150.68,21.1749800630708
"Matthew Stafford","qb",309.338,21.1654778245482
"Derek Carr","qb",308.99,20.8648615512899
"Amari Cooper","wr",97.015,20.077903433651
"Doug Baldwin","wr",95.07,18.3977348948939
"Kelvin Benjamin","wr",94.98,18.3199893069822
"Eric Decker","wr",94.74,18.1126677392178
"Jeremy Maclin","wr",94.075,17.5382142285374
"Carlos Hyde","rb",145.47,16.6743743628525
"Jameis Winston","qb",303.206,15.8684117681685
"Jonathan Stewart","rb",144.01,15.4131681589525
"Latavius Murray","rb",143.575,15.0373978173796
"Michael Floyd","wr",90.74,14.6573082764783
"Ryan Fitzpatrick","qb",301.148,14.0906293245889
"Julian Edelman","wr",89.285,13.4004212719067
"Jarvis Landry","wr",88.405,12.640242190104
"Matt Ryan","qb",299.37,12.5547220434012
"Ryan Tannehill","qb",299.28,12.4769764554895
"Larry Fitzgerald","wr",87.635,11.9750854935266
"Jeremy Hill","rb",139.83,11.8023175203897
"Delanie Walker","te",72.665,11.3833551855325
"Golden Tate","wr",86.89,11.3315247935914
"Jordan Matthews","wr",86.43,10.9341584553763
"Matt Forte","rb",138.575,10.7181984889551
"Coby Fleener","te",71.69,10.5411113164897
"DeMarco Murray","rb",138.03,10.2474057621568
"Travis Kelce","te",71.16,10.0832761876767
"DeSean Jackson","wr",84.675,9.41811949109934
"Donte Moncrief","wr",82.625,7.6472477664453
"Tyler Eifert","te",68.155,7.48743739129359
"Antonio Gates","te",67.815,7.19373183696072
"John Brown","wr",81.965,7.07711345509326
"Emmanuel Sanders","wr",81.545,6.7143007115056
"Gary Barnidge","te",66.94,6.43787195448643
"Matt Jones","rb",133.11,5.99731362298715
"Allen Hurns","wr",80.5,5.81158805186488
"Alex Smith","qb",290.992,5.31747164869312
"Ladarius Green","te",64.93,4.7015538244598
"Michael Crabtree","wr",78.87,4.4035290707985
"Devante Parker","wr",78.865,4.39920987147007
"Jimmy Graham","te",63.495,3.46194361720196
"Ryan Mathews","rb",129.865,3.19415325883965
"Tom Brady","qb",288.084,2.80542531928142
"Joe Flacco","qb",287.612,2.39769290267816
"Jeremy Langford","rb",128.92,2.37782458576743
"Marcus Mariota","qb",285.994,1
"Frank Gore","rb",127.325,1
"Stefon Diggs","wr",74.93,1
"Jason Witten","te",60.645,1
